model,rmse_log,mae_log,r2_log,rmse_days,mae_days,r2_days,median_ae_days,mape,wape,mase,train_time_s,improvement_%
catboost,0.6418,0.3882,0.5825,8.9036,2.7572,0.3053,0.2683,515.0109,76.2796,0.516,26.16,31.1
xgboost,0.65,0.385,0.5718,8.9148,2.7785,0.3035,0.2609,546.7574,76.8684,0.52,11.6,30.57
random_forest,0.6615,0.391,0.5564,9.0,2.831,0.2902,0.265,590.9982,78.3198,0.5298,1296.93,29.26
