bucket,count,mae,median_ae,rmse,pct
<1h,95612,0.7825396070244288,0.09879472691826102,3.1022547233314435,23.4
1h-12h,140371,0.36551292398317375,0.10496840918632432,1.3377924904139893,34.3
12h-1d,68817,0.723940351688077,0.35877290418612545,2.010118453170095,16.8
1-3d,37250,1.691690214117283,1.0741824322007902,3.139978065642374,9.1
3-7d,19549,3.2938262125223394,2.9050430164625762,4.4962561641533565,4.8
1-2w,17403,5.119045158198481,4.613487959977451,6.3727841808750725,4.3
2w-1m,15733,10.821515486683603,10.15681415845339,12.832797367848672,3.8
1-3m,14395,37.53065383459538,34.76807109347873,42.25476224775958,3.5
